timestamp,database_name,database_type,resource_id,dtu_percent,storage_percent,connection_count,deadlocks,query_duration_avg_ms,cost_usd,environment,region
2026-04-18 15:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,25.2,60.94,49,0,273.6,2.43,Staging,East US
2026-04-18 14:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,18.81,69.15,67,0,480.86,1.73,Staging,East US
2026-04-18 13:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,22.1,61.34,45,0,393.57,2.04,Staging,East US
2026-04-18 12:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,15.18,35.9,59,0,417.36,1.38,Staging,East US
2026-04-18 11:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,11.26,47.89,61,0,409.06,1.24,Staging,East US
2026-04-18 10:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,15.09,31.58,51,0,301.01,1.57,Staging,East US
2026-04-18 09:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,31.48,41.59,81,0,335.74,3.43,Staging,East US
2026-04-18 08:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,44.1,62.67,22,0,320.66,4.75,Staging,East US
2026-04-18 07:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,37.82,52.47,99,0,479.8,3.59,Staging,East US
2026-04-18 06:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,43.47,53.32,91,0,282.15,3.93,Staging,East US
2026-04-18 05:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,12.49,62.32,93,0,385.95,1.19,Staging,East US
2026-04-18 04:01:26.584187,sqldb-stag-mar-01,SQL,/subscriptions/sub-1102/resourceGroups/rg-marketing-staging-eastus/providers/Microsoft.Compute/SQLDatabase/sqldb-stag-mar-01,40.95,73.41,75,0,214.35,3.75,Staging,East US
